    Language  Files   Code  Comment  Blank  Total
       Total    158  60175     1114   7343  68404
         CSS      8  24968      238   3088  28288
  JavaScript     16  18984      600   1030  20416
        SCSS     82  10378      166   1900  12420
        HTML     36   5485      110   1197   6792
         XML      8    265        0     71    336
    Markdown      7     87        0     54    141
        Make      1      8        0      3     11
