    Language  Files  Code  Comment  Blank  Total
       Total     30  2830      216    377   3322
  JavaScript      3  1751      122     32   1871
    Markdown      7   532        0    206    738
          Go      1   333       25    115    470
        HTML     13   105        0      2    107
         CSS      4    67       64      1     68
        SCSS      1    31        0     11     42
        Make      1    11        5     10     26
