    Language  Files   Code  Comment  Blank  Total
       Total    102  11371       90    530  11978
         CSS     11   7654       38     29   7721
        HTML     29   1571       41     95   1698
    Markdown     48   1454        0    339   1793
        SCSS      8    507        0     63    570
         XML      1    103        0      0    103
       Shell      3     54        1      4     59
  JavaScript      2     28       10      0     34
