    Language  Files   Code  Comment  Blank  Total
       Total     68  16753       46   3752  20545
         CSS      4  14372       12   2148  16532
        HTML     40   2009       13   1495   3515
         XML      5    157        0     46    203
    Markdown     11    117        0     42    159
        SCSS      1     63        0     14     77
        Make      1     25        1      3     29
  JavaScript      6     10       20      4     30
