    Language  Files  Code  Comment  Blank  Total
       Total     62  2784       79    133   2989
        SCSS     25  1777       55     71   1901
         CSS      2   404        1      0    404
        HTML     27   348        3     14    365
  JavaScript      4   162        9     21    188
    Markdown      2    65        0     21     86
         XML      1    21        0      0     21
        Ruby      1     7       11      6     24
